"global_category","indicator_name","value","count"
"Sectoral Information","Downstream actions","The scale-up of existing projects",4
"Sectoral Information","Downstream actions","""The Waste Management Roadmap promotes waste-to energy technologies and also actively implements 3Rs principle.""",2
"Sectoral Information","Downstream actions","""While the emissions pathways analyzed focus on domestic emissions reduction, the United States is also exploring ways to support decarbonization of international maritime and aviation energy use through domestic action as well as through the International Maritime Organization (IMO) and International Civil Aviation Organization (ICAO).""",2
"Sectoral Information","Downstream actions","1.3 MW PV on-grid in South Tarawa",2
"Sectoral Information","Downstream actions","1000  Solar  Roof  Programme",2
"Sectoral Information","Downstream actions","11 RAMSAR site wetland research, eco-tourism and education centres; 111 District wetland action plans;15 RANSAR sites and Framework wetland management plans; 20 wetland systems",2
"Sectoral Information","Downstream actions","13 (681 MW) wind energy projects<br>Tombwa Wind Farm",2
"Sectoral Information","Downstream actions","130 MW from the Kandadji hydroelectric plant by 2030",2
"Sectoral Information","Downstream actions","14 (2 Municipal solid waste, 11 wasteforest, 640 MW) biomass projects",2
"Sectoral Information","Downstream actions","18 (438 MW) solar projects",2
"Sectoral Information","Downstream actions","2  year project that study the energy consumption of 10 buildings; 2  year project that imrpove the energy efficiency of old buildings; installation of a photovoltaic solar park on the roof of the old Cité Ministérielle building",2
"Sectoral Information","Downstream actions","25 (6,732 MW) hydroelectric projects <br>Cambambe Central I Hydroelectric Power Plant; Cambambe Hydroelectric Second Power Plant",2
"Sectoral Information","Downstream actions","26 MW wind farm",2
"Sectoral Information","Downstream actions","39 urban transport and mass rapid transport projects approved; Solar Power Toll Plazas (mandatory)",2
"Sectoral Information","Downstream actions","681 MW wind energy projects; 438 MW solar projects; 640 MW biomass projects; 6,732 MW hydroelectric projects",2
"Sectoral Information","Downstream actions","74 small plants",2
"Sectoral Information","Downstream actions","Abatement of fluorinated-gases (HFC-22 and HFC-410) from stationery airconditioners",2
"Sectoral Information","Downstream actions","Add 15MW: solar projects",2
"Sectoral Information","Downstream actions","Adoption of Sustainable Land Management to Build Resilient Rural Livelihoods and Enable National Food Security",2
"Sectoral Information","Downstream actions","Attain utility scale wind power capacity up to 50-150MW",2
"Sectoral Information","Downstream actions","Audit of administrative buildings: Diagnostic review of the lighting and air conditioning systems used in different administrative buildings.",2
"Sectoral Information","Downstream actions","Bioenergy<br>NAMA in Biomass Sector",2
"Sectoral Information","Downstream actions","Biofuel programme",2
"Sectoral Information","Downstream actions","Biomass and Waste Power Generation",2
"Sectoral Information","Downstream actions","Build and manage two solid waste landfills with the recovery of methane",2
"Sectoral Information","Downstream actions","CCS installation in the coal-to-liquid plant",2
"Sectoral Information","Downstream actions","Coconut oil as biodiesel for electricity generation",2
"Sectoral Information","Downstream actions","Coconut oil as biodiesel for transport",2
"Sectoral Information","Downstream actions","Conserve 30,000 ha of open mires, 40,000 ha of floodplain meadows, 160,000 ha of raised bogs and mires",2
"Sectoral Information","Downstream actions","Construct a controlled landfill to cover the waste from electricity production",2
"Sectoral Information","Downstream actions","Construct controlled landfill for biogas recovery to generate up to 240 GWh of primary energy (95 GWh of electricity) per year; Install waste to energy incinerators to generate up to 250 GWh of electricity per year",2
"Sectoral Information","Downstream actions","Construct hydropower plants",2
"Sectoral Information","Downstream actions","Construction of a gas power plant",2
"Sectoral Information","Downstream actions","Construction of a nuclear power plant; Energy Efficiency",2
"Sectoral Information","Downstream actions","Construction of a photovoltaic solar power plant at Bangui",2
"Sectoral Information","Downstream actions","Construction of additional and new grid storage",2
"Sectoral Information","Downstream actions","Construction of Combined Cycle Power Plant (CCPP) by the Government of Bangladesh and utilities companies",2
"Sectoral Information","Downstream actions","Construction of two additional high voltage lines with a combined capacity of 250 MW",2
"Sectoral Information","Downstream actions","Conversion or replacement of the existing diesel generators to run on bio-diesel fuel",2
"Sectoral Information","Downstream actions","Create an Agency for Promotion of Renewable Energies | Conduct a comprehensive assessment of renewable energy potential (partial study - 262 sites identified for small hydro and  25 sites for biomass energy for a total combined capacity of 284MW in 35 pilot projects (23 hydro, 9 biomass and 3 solar PV)",2
"Sectoral Information","Downstream actions","Create an Agency for rational use of energy (APRUE)",2
"Sectoral Information","Downstream actions","Cut carbon pollution from new and existing power plants.",2
"Sectoral Information","Downstream actions","Delhi Metro system",2
"Sectoral Information","Downstream actions","Deploy hydropower, multiple projects",2
"Sectoral Information","Downstream actions","Deploy solar, multiple projects",2
"Sectoral Information","Downstream actions","Design and deployment solar home systems solar-water-heaters across all islands",2
"Sectoral Information","Downstream actions","Developing standards to address methane emissions from landfills and the oil and gas sector.",2
"Sectoral Information","Downstream actions","Development and coordination for the involvement of the private sector through actions under the Cleaner Production Policy",2
"Sectoral Information","Downstream actions","Development of sustainable transport under Concept Program",2
"Sectoral Information","Downstream actions","Diesel Engines Fuel Efficiency Services Training",2
"Sectoral Information","Downstream actions","Emission Reduction Programme",2
